method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,model_planes,model_plane_training,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,20,5,1000,False,100,10,1500,1000,True,0.076,0.069,0.069
lsh_random,True,True,4,20,5,1000,False,200,1,1500,1000,True,0.067,0.052,0.052
lsh_random,True,True,4,20,5,1000,False,200,2,1500,1000,True,0.052,0.05,0.05
lsh_random,True,True,4,20,5,1000,False,200,5,1500,1000,True,0.059,0.048,0.048
lsh_random,True,True,4,20,5,1000,False,200,10,1500,1000,True,0.063,0.056,0.056
lsh_random,True,True,4,20,5,1000,False,500,1,1500,1000,True,0.033,0.015,0.015
lsh_random,True,True,4,20,5,1000,False,500,2,1500,1000,True,0.031,0.02,0.02
lsh_random,True,True,4,20,5,1000,False,500,5,1500,1000,True,0.04,0.023,0.023
lsh_random,True,True,4,20,5,1000,False,500,10,1500,1000,True,0.032,0.025,0.025
lsh_random,True,True,4,20,5,1000,False,5,1,1750,1000,True,0.362,0.362,0.362
lsh_random,True,True,4,20,5,1000,False,5,2,1750,1000,True,0.545,0.501,0.501
lsh_random,True,True,4,20,5,1000,False,5,5,1750,1000,True,0.636,0.524,0.524
lsh_random,True,True,4,20,5,1000,False,5,10,1750,1000,True,0.504,0.454,0.454
lsh_random,True,True,4,20,5,1000,False,10,1,1750,1000,True,0.348,0.235,0.237
lsh_random,True,True,4,20,5,1000,False,10,2,1750,1000,True,0.47,0.397,0.397
lsh_random,True,True,4,20,5,1000,False,10,5,1750,1000,True,0.306,0.281,0.281
lsh_random,True,True,4,20,5,1000,False,10,10,1750,1000,True,0.231,0.199,0.199
lsh_random,True,True,4,20,5,1000,False,20,1,1750,1000,True,0.211,0.229,0.229
lsh_random,True,True,4,20,5,1000,False,20,2,1750,1000,True,0.325,0.244,0.244
lsh_random,True,True,4,20,5,1000,False,20,5,1750,1000,True,0.129,0.17,0.17
lsh_random,True,True,4,20,5,1000,False,20,10,1750,1000,True,0.233,0.256,0.256
lsh_random,True,True,4,20,5,1000,False,50,1,1750,1000,True,0.154,0.106,0.106
lsh_random,True,True,4,20,5,1000,False,50,2,1750,1000,True,0.146,0.133,0.133
lsh_random,True,True,4,20,5,1000,False,50,5,1750,1000,True,0.106,0.086,0.086
lsh_random,True,True,4,20,5,1000,False,50,10,1750,1000,True,0.115,0.102,0.102
lsh_random,True,True,4,20,5,1000,False,100,1,1750,1000,True,0.097,0.071,0.071
lsh_random,True,True,4,20,5,1000,False,100,2,1750,1000,True,0.096,0.078,0.078
lsh_random,True,True,4,20,5,1000,False,100,5,1750,1000,True,0.09,0.077,0.077
lsh_random,True,True,4,20,5,1000,False,100,10,1750,1000,True,0.095,0.071,0.071
lsh_random,True,True,4,20,5,1000,False,200,1,1750,1000,True,0.073,0.052,0.052
lsh_random,True,True,4,20,5,1000,False,200,2,1750,1000,True,0.056,0.049,0.049
lsh_random,True,True,4,20,5,1000,False,200,5,1750,1000,True,0.063,0.055,0.055
lsh_random,True,True,4,20,5,1000,False,200,10,1750,1000,True,0.064,0.045,0.045
